([1, 22, 32, 49, 36, 35, 34, 44, 46, 40, 39, 37, 38, 48, 24, 5, 15, 6, 4, 25, 12, 28, 27, 26, 47, 13, 14, 52, 11, 51, 33, 43, 9, 10, 8, 41, 19, 45, 3, 17, 21, 42, 7, 2, 30, 29, 16, 50, 20, 23, 31, 18, 1], 0.2, 3, 7, 40, 9, 7895.778049112441)
([1, 22, 49, 32, 45, 19, 41, 8, 9, 10, 43, 33, 51, 11, 52, 13, 14, 47, 26, 27, 28, 12, 25, 4, 6, 15, 5, 24, 48, 38, 40, 39, 34, 35, 36, 37, 44, 46, 16, 50, 20, 23, 30, 29, 2, 7, 42, 21, 17, 3, 18, 31, 1], 0.1, 5, 7, 40, 7, 7960.933688477783)
([1, 22, 49, 32, 45, 19, 41, 8, 9, 10, 43, 33, 51, 11, 52, 13, 14, 47, 26, 27, 28, 12, 25, 4, 6, 15, 5, 38, 40, 39, 36, 35, 34, 37, 48, 24, 46, 44, 16, 50, 20, 23, 30, 29, 42, 7, 2, 21, 17, 3, 18, 31, 1], 0.3, 5, 7, 30, 5, 7990.97494181988)
([1, 22, 49, 32, 45, 19, 41, 8, 9, 10, 43, 33, 51, 11, 52, 14, 13, 47, 26, 27, 28, 12, 25, 4, 6, 15, 5, 24, 48, 38, 37, 40, 39, 36, 35, 34, 44, 46, 16, 50, 20, 23, 31, 18, 3, 17, 21, 42, 7, 2, 29, 30, 1], 0.3, 5, 7, 40, 5, 8045.406406232524)
([1, 22, 32, 49, 35, 36, 39, 40, 37, 48, 24, 38, 15, 5, 6, 4, 25, 12, 28, 27, 26, 47, 14, 13, 52, 11, 51, 33, 43, 10, 9, 8, 41, 19, 45, 3, 18, 31, 21, 17, 42, 7, 2, 30, 29, 16, 50, 20, 23, 46, 44, 34, 1], 0.3, 3, 7, 50, 7, 8049.241221068155)
([1, 35, 34, 36, 39, 40, 38, 37, 48, 24, 15, 5, 6, 4, 25, 12, 28, 27, 26, 47, 13, 14, 52, 11, 51, 33, 43, 10, 9, 8, 41, 19, 45, 3, 17, 7, 2, 42, 21, 30, 29, 16, 46, 44, 49, 32, 22, 18, 31, 23, 20, 50, 1], 0.4, 3, 5, 30, 5, 8052.345475778801)
([1, 22, 32, 49, 35, 34, 44, 46, 16, 50, 20, 23, 30, 29, 2, 7, 42, 21, 17, 3, 18, 31, 45, 19, 41, 8, 9, 10, 43, 33, 51, 11, 52, 13, 14, 47, 26, 27, 28, 12, 25, 4, 6, 15, 5, 24, 48, 38, 37, 40, 39, 36, 1], 0.4, 3, 9, 50, 7, 8052.764886513587)
([1, 22, 49, 32, 45, 19, 41, 8, 9, 10, 43, 33, 51, 11, 52, 14, 13, 47, 26, 27, 28, 12, 25, 4, 6, 15, 5, 24, 48, 38, 40, 37, 34, 35, 36, 39, 44, 46, 16, 29, 30, 42, 2, 7, 17, 3, 18, 31, 23, 20, 50, 21, 1], 0.4, 3, 9, 50, 5, 8052.9469101693085)
([1, 22, 18, 31, 21, 17, 3, 45, 19, 41, 8, 9, 10, 43, 33, 51, 11, 52, 13, 14, 47, 26, 27, 28, 12, 25, 4, 6, 15, 5, 24, 48, 37, 39, 40, 38, 36, 35, 34, 44, 46, 16, 29, 30, 42, 7, 2, 23, 20, 50, 49, 32, 1], 0.4, 3, 7, 30, 7, 8055.708395802338)
([1, 22, 31, 18, 3, 17, 42, 7, 2, 29, 30, 21, 23, 20, 50, 16, 46, 44, 34, 35, 36, 39, 40, 38, 37, 48, 24, 5, 15, 6, 4, 25, 12, 28, 27, 26, 47, 14, 13, 52, 11, 51, 33, 43, 9, 10, 8, 41, 19, 45, 49, 32, 1], 0.2, 5, 9, 40, 5, 8056.621045259996)
([1, 22, 49, 32, 45, 19, 41, 8, 9, 10, 43, 33, 11, 52, 14, 13, 47, 26, 27, 28, 12, 51, 25, 4, 6, 15, 5, 24, 48, 37, 38, 40, 39, 36, 35, 34, 44, 46, 16, 29, 30, 42, 7, 2, 17, 3, 18, 31, 21, 23, 20, 50, 1], 0.4, 3, 5, 30, 7, 8076.307672934986)
([1, 22, 32, 49, 36, 35, 34, 44, 46, 16, 29, 30, 42, 7, 2, 21, 17, 3, 18, 31, 23, 20, 50, 38, 37, 40, 39, 24, 48, 5, 15, 6, 4, 25, 12, 28, 27, 26, 47, 14, 13, 52, 11, 51, 33, 43, 10, 9, 8, 41, 19, 45, 1], 0.4, 3, 7, 40, 7, 8099.071413017748)
([1, 22, 32, 49, 34, 35, 36, 39, 40, 38, 37, 48, 24, 5, 15, 6, 4, 25, 12, 28, 27, 26, 47, 13, 14, 52, 11, 51, 33, 43, 10, 9, 8, 41, 19, 45, 3, 17, 21, 23, 20, 50, 16, 46, 44, 29, 30, 42, 7, 2, 31, 18, 1], 0.3, 3, 7, 40, 9, 8102.092520009217)
([1, 22, 49, 32, 45, 19, 41, 8, 9, 10, 43, 33, 51, 11, 52, 14, 13, 47, 26, 27, 28, 12, 25, 4, 6, 15, 5, 24, 48, 40, 38, 37, 39, 36, 35, 34, 44, 16, 50, 20, 23, 21, 17, 3, 18, 31, 42, 7, 2, 30, 29, 46, 1], 0.2, 5, 7, 30, 7, 8137.541140900826)
([1, 22, 31, 18, 3, 17, 21, 42, 7, 2, 29, 30, 23, 20, 50, 16, 44, 46, 25, 4, 6, 15, 5, 38, 40, 39, 36, 35, 34, 37, 24, 48, 12, 28, 27, 26, 47, 13, 14, 52, 11, 51, 33, 43, 9, 10, 8, 41, 19, 45, 32, 49, 1], 0.2, 3, 7, 30, 9, 8145.826037075818)
([1, 22, 32, 49, 35, 34, 44, 46, 25, 4, 6, 15, 5, 24, 48, 37, 40, 39, 36, 38, 12, 28, 27, 26, 47, 14, 13, 52, 11, 51, 33, 43, 10, 9, 8, 41, 19, 45, 3, 18, 31, 21, 17, 42, 7, 2, 30, 29, 16, 50, 20, 23, 1], 0.3, 5, 7, 50, 5, 8149.156974240175)
([1, 22, 32, 45, 19, 41, 8, 9, 10, 33, 43, 4, 6, 5, 15, 48, 24, 38, 40, 39, 36, 35, 34, 44, 16, 50, 20, 23, 31, 18, 3, 17, 21, 42, 7, 2, 30, 29, 47, 26, 27, 13, 14, 52, 11, 51, 12, 28, 25, 46, 37, 49, 1], 0.3, 3, 9, 40, 9, 8162.430664766385)
([1, 22, 32, 49, 34, 35, 36, 39, 40, 37, 38, 5, 24, 48, 15, 6, 4, 25, 12, 28, 27, 26, 47, 14, 13, 52, 11, 51, 33, 43, 10, 9, 8, 41, 19, 45, 3, 17, 42, 7, 2, 30, 21, 23, 20, 50, 16, 29, 46, 44, 31, 18, 1], 0.2, 3, 5, 40, 7, 8173.966576896336)
